age,sex,year,LEadj
0,male,2010,88.15928738498498
0,female,2010,86.9313478555258
1,male,2010,87.18208904645452
1,female,2010,85.94793617446213
2,male,2010,86.20864182015376
2,female,2010,84.9704582341947
3,male,2010,85.23512641069439
3,female,2010,83.992911828103
4,male,2010,84.26159639974513
4,female,2010,83.01535564737819
5,male,2010,83.28805178686792
5,female,2010,82.03778480433708
6,male,2010,82.3218222314934
6,female,2010,81.06471094739915
7,male,2010,81.35558301425814
7,female,2010,80.09162249493723
8,male,2010,80.38933413496892
8,female,2010,79.11852431188271
9,male,2010,79.42308042458023
9,female,2010,78.14542126345893
10,male,2010,78.45682188304374
10,female,2010,77.17231821503513
11,male,2010,77.49079271991864
11,female,2010,76.20236768855092
12,male,2010,76.52476838677028
12,female,2010,75.23242201164959
13,male,2010,75.5587585432624
13,female,2010,74.26248603376857
14,male,2010,74.59277284818941
14,female,2010,73.29256460405428
15,male,2010,73.62681612964448
15,female,2010,72.32265287287535
16,male,2010,72.69033809895798
16,female,2010,71.39907113032329
17,male,2010,71.75390692985519
17,female,2010,70.475503240112
18,male,2010,70.8175366129506
18,female,2010,69.55194920182595
19,male,2010,69.88123186713598
19,female,2010,68.62840901504954
20,male,2010,68.94498800387929
20,female,2010,67.7048780623821
21,male,2010,68.01560621380881
21,female,2010,66.79826425445225
22,male,2010,67.08623371341864
22,female,2010,65.89165955653291
23,male,2010,66.15684263348203
23,female,2010,64.98505485861357
24,male,2010,65.22741434576933
24,female,2010,64.07845016069423
25,male,2010,64.29794884730012
25,female,2010,63.17184546277489
26,male,2010,63.37846520974923
26,female,2010,62.278199374830045
27,male,2010,62.458958591546256
27,female,2010,61.3845532868852
28,male,2010,61.539442734797326
28,female,2010,60.49091166643333
29,male,2010,60.61992687804841
29,female,2010,59.59727004598143
30,male,2010,59.70042025984542
30,female,2010,58.70363736038146
31,male,2010,58.77855451074843
31,female,2010,57.81531072022433
32,male,2010,57.85671180080286
32,female,2010,56.92699296160096
33,male,2010,56.93489212885682
33,female,2010,56.03868852494514
34,male,2010,56.01310014706183
34,female,2010,55.15040185029104
35,male,2010,55.09133120073
35,female,2010,54.26212849667198
36,male,2010,54.17473953039974
36,female,2010,53.38754352933667
37,male,2010,53.258175345028015
37,female,2010,52.5129804638898
38,male,2010,52.34163868876992
38,female,2010,51.63843925552103
39,male,2010,51.42512955997099
39,female,2010,50.763919903137555
40,male,2010,50.508652491018985
40,female,2010,49.889426820202225
41,male,2010,49.594831693269015
41,female,2010,49.018803867186385
42,male,2010,48.68104747060521
42,female,2010,48.14821141592008
43,male,2010,47.76730438570466
43,female,2010,47.27765381496279
44,male,2010,46.85360704566194
44,female,2010,46.407139762090786
45,male,2010,45.9399599648935
45,female,2010,45.53666925294512
46,male,2010,45.036617541108036
46,female,2010,44.6823852803264
47,male,2010,44.13333842844382
47,female,2010,43.828148346018416
48,male,2010,43.2301271296
48,female,2010,42.97395840216039
49,male,2010,42.32698814524283
49,female,2010,42.11981548625171
50,male,2010,41.423930529015905
50,female,2010,41.26571532628519
51,male,2010,40.53720688857828
51,female,2010,40.3940593740308
52,male,2010,39.65058091910418
52,female,2010,39.522451403871564
53,male,2010,38.76406592125786
53,female,2010,38.650895807404076
54,male,2010,37.877670805241564
54,female,2010,37.77940128385073
55,male,2010,36.991408853175024
55,female,2010,36.90798527624317
56,male,2010,36.123117828312054
56,female,2010,36.054120320664275
57,male,2010,35.25499211648244
57,female,2010,35.2003579410482
58,male,2010,34.38705343207343
58,female,2010,34.34670672147068
59,male,2010,33.51932354783183
59,female,2010,33.49317945717098
60,male,2010,32.65182857316102
60,female,2010,32.639793276474585
61,male,2010,31.812733837765037
61,female,2010,31.802072202384995
62,male,2010,30.9739169113141
62,female,2010,30.96452318871223
63,male,2010,30.135407220000513
63,female,2010,30.127167256368992
64,male,2010,29.297234250023003
64,female,2010,29.290037961617625
65,male,2010,28.459431626780948
65,female,2010,28.453164676076085
66,male,2010,27.652452452118215
66,female,2010,27.654300498112143
67,male,2010,26.845899118927257
67,female,2010,26.855740934895426
68,male,2010,26.03982035763751
68,female,2010,26.057514012619706
69,male,2010,25.234276963079406
69,female,2010,25.25964780588684
70,male,2010,24.429337910897473
70,female,2010,24.462166345365997
71,male,2010,23.65935322547405
71,female,2010,23.6906517497285
72,male,2010,22.89011801056386
72,female,2010,22.919598777264227
73,male,2010,22.121737075377638
73,female,2010,22.149073409894797
74,male,2010,21.3543191799396
74,female,2010,21.37914933887772
75,male,2010,20.587992433555925
75,female,2010,20.60991580588862
76,male,2010,19.859780571425425
76,female,2010,19.88135087491415
77,male,2010,19.132873354386582
77,female,2010,19.153665005578254
78,male,2010,18.40741862701055
78,female,2010,18.426997976069615
79,male,2010,17.683604899404287
79,female,2010,17.70150793010091
80,male,2010,16.961657623101804
80,female,2010,16.97737880153707
81,male,2010,16.283481857552164
81,female,2010,16.290685215533543
82,male,2010,15.60759384155628
82,female,2010,15.605777916220093
83,male,2010,14.934310463231492
83,female,2010,14.922978472937515
84,male,2010,14.263976446881225
84,female,2010,14.242657438107383
85,male,2010,13.596967862576394
85,female,2010,13.565223806011549
86,male,2010,12.985244311507422
86,female,2010,12.953858522224243
87,male,2010,12.377284559844966
87,female,2010,12.345815482816644
88,male,2010,11.77336803281298
88,female,2010,11.7413134343362
89,male,2010,11.173719526082857
89,female,2010,11.140659869778036
90,male,2010,10.578502824915013
90,female,2010,10.544159097498111
91,male,2010,9.987820693442844
91,female,2010,9.952191541645403
92,male,2010,9.40177588716444
92,female,2010,9.365223190813559
93,male,2010,8.820914356185531
93,female,2010,8.783792961510782
94,male,2010,8.245849503264035
94,female,2010,8.208506333631178
95,male,2010,7.677217174093412
95,female,2010,7.6399910052785405
96,male,2010,7.115441305358294
96,female,2010,7.07866541051537
97,male,2010,6.560907255209533
97,female,2010,6.524913132652958
98,male,2010,6.013961856989529
98,female,2010,5.97907335832382
99,male,2010,5.47489415374574
99,female,2010,5.441431411108953
100,male,2010,4.943925729251262
100,female,2010,4.912206008472095
101,male,2010,4.4212043110212065
101,female,2010,4.391546166054149
102,male,2010,3.9067941238249517
102,female,2010,3.8795120996103907
103,male,2010,3.400663060188002
103,female,2010,3.376072118260491
104,male,2010,2.9026794500090833
104,female,2010,2.881093068729709
105,male,2010,2.4126024224701657
105,female,2010,2.3943435465762555
106,male,2010,1.9300819379761325
106,female,2010,1.9154748372610042
107,male,2010,1.4475614534820993
107,female,2010,1.4366061279457532
108,male,2010,0.9650409689880662
108,female,2010,0.9577374186305021
109,male,2010,0.4825204844940331
109,female,2010,0.47886870931525105
